,Image,Red,Green,Blue
0,"set3/capture1-0,0.jpg",10.0,122.0,50.0
1,"set3/capture1-0,1.jpg",125.0,80.0,63.0
2,"set3/capture1-0,2.jpg",173.0,170.0,178.0
3,"set3/capture1-1,0.jpg",168.0,163.0,162.0
4,"set3/capture1-1,1.jpg",239.0,71.0,35.0
5,"set3/capture1-1,2.jpg",178.0,176.0,183.0
6,"set3/capture1-2,0.jpg",38.0,45.0,97.0
7,"set3/capture1-2,1.jpg",5.0,126.0,56.0
8,"set3/capture1-2,2.jpg",13.0,134.0,67.0
9,"set3/capture2-0,0.jpg",120.0,72.0,55.0
10,"set3/capture2-0,1.jpg",223.0,80.0,64.0
11,"set3/capture2-0,2.jpg",223.0,52.0,22.0
12,"set3/capture2-1,0.jpg",205.0,52.0,22.0
13,"set3/capture2-1,1.jpg",34.0,129.0,86.0
14,"set3/capture2-1,2.jpg",228.0,57.0,26.0
15,"set3/capture2-2,0.jpg",206.0,55.0,27.0
16,"set3/capture2-2,1.jpg",131.0,52.0,59.0
17,"set3/capture2-2,2.jpg",168.0,162.0,32.0
18,"set3/capture3-0,0.jpg",166.0,157.0,25.0
19,"set3/capture3-0,1.jpg",160.0,153.0,150.0
20,"set3/capture3-0,2.jpg",165.0,159.0,157.0
21,"set3/capture3-1,0.jpg",163.0,155.0,24.0
22,"set3/capture3-1,1.jpg",122.0,24.0,13.0
23,"set3/capture3-1,2.jpg",170.0,168.0,58.0
24,"set3/capture3-2,0.jpg",120.0,30.0,20.0
25,"set3/capture3-2,1.jpg",120.0,21.0,12.0
26,"set3/capture3-2,2.jpg",168.0,168.0,60.0
27,"set3/capture4-0,0.jpg",143.0,48.0,33.0
28,"set3/capture4-0,1.jpg",36.0,27.0,25.0
29,"set3/capture4-0,2.jpg",192.0,183.0,36.0
30,"set3/capture4-1,0.jpg",41.0,46.0,93.0
31,"set3/capture4-1,1.jpg",178.0,166.0,160.0
32,"set3/capture4-1,2.jpg",47.0,52.0,104.0
33,"set3/capture4-2,0.jpg",23.0,124.0,48.0
34,"set3/capture4-2,1.jpg",18.0,128.0,56.0
35,"set3/capture4-2,2.jpg",46.0,48.0,101.0
36,"set3/capture5-0,0.jpg",14.0,107.0,35.0
37,"set3/capture5-0,1.jpg",136.0,57.0,59.0
38,"set3/capture5-0,2.jpg",162.0,155.0,157.0
39,"set3/capture5-1,0.jpg",37.0,107.0,45.0
40,"set3/capture5-1,1.jpg",48.0,56.0,103.0
41,"set3/capture5-1,2.jpg",15.0,23.0,84.0
42,"set3/capture5-2,0.jpg",120.0,31.0,20.0
43,"set3/capture5-2,1.jpg",165.0,166.0,66.0
44,"set3/capture5-2,2.jpg",17.0,26.0,85.0
45,"set3/capture6-0,0.jpg",87.0,78.0,71.0
46,"set3/capture6-0,1.jpg",164.0,158.0,160.0
47,"set3/capture6-0,2.jpg",172.0,171.0,30.0
48,"set3/capture6-1,0.jpg",100.0,91.0,86.0
49,"set3/capture6-1,1.jpg",158.0,156.0,160.0
50,"set3/capture6-1,2.jpg",19.0,11.0,10.0
51,"set3/capture6-2,0.jpg",111.0,104.0,100.0
52,"set3/capture6-2,1.jpg",94.0,66.0,51.0
53,"set3/capture6-2,2.jpg",27.0,21.0,18.0
